windSpdKts,gustKts,windVrbDeg,visibilityMtrs,qnh,ws
16,0,0,5000,1024,0
10,0,0,5000,1024,0
11,0,0,5000,1024,0
12,0,0,5000,1024,0
13,0,0,4000,1024,0
13,0,0,9999,1023,0
16,0,0,9999,1022,0
16,0,0,9999,1022,0
16,0,0,8000,1022,0
14,0,0,8000,1022,0
18,0,0,8000,1022,0
19,0,0,6000,1023,0
22,0,0,6000,1023,0
22,0,0,5000,1023,1
21,0,0,8000,1023,1
22,0,0,7000,1023,0
21,0,0,7000,1023,1
23,0,0,6000,1024,0
23,0,0,6000,1023,0
22,0,0,6000,1024,0
21,0,0,6000,1023,0
22,0,0,7000,1023,0
19,0,0,7000,1023,0
18,0,0,7000,1023,0
18,0,0,7000,1023,0
17,28,0,7000,1023,0
16,0,0,7000,1023,0
13,0,0,8000,1022,0
13,0,0,8000,1021,0
15,0,0,8000,1021,0
17,0,0,9999,1021,0
17,0,0,9999,1021,0
17,0,0,9999,1021,0
18,0,0,9999,1021,0
16,0,0,9999,1021,0
18,0,0,9999,1021,0
17,0,0,9999,1022,0
17,0,0,9999,1023,0
17,0,0,9999,1024,0
17,0,0,9999,1024,0
17,0,0,9999,1025,0
15,0,0,9999,1025,0
16,0,0,7000,1025,1
19,0,0,7000,1025,0
21,0,0,5000,1024,0
20,0,0,8000,1024,0
15,0,0,9999,1024,0
14,0,0,9999,1024,0
13,0,0,9999,1023,0
15,0,0,7000,1023,0
14,0,0,7000,1023,0
14,0,0,7000,1023,0
15,0,0,7000,1024,0
15,0,0,7000,1024,0
16,0,0,7000,1024,0
16,0,0,8000,1024,0
17,0,0,8000,1025,0
17,0,0,8000,1025,0
18,0,0,7000,1025,0
18,0,0,7000,1026,0
17,0,0,7000,1026,0
19,0,0,8000,1025,0
21,31,0,8000,1025,0
23,0,0,8000,1025,1
21,0,0,7000,1025,1
22,0,0,7000,1025,1
19,0,0,5000,1025,1
22,0,0,5000,1025,1
21,0,0,5000,1024,1
23,0,0,5000,1024,1
24,34,0,5000,1023,1
23,0,0,5000,1024,1
20,0,0,5000,1023,1
24,35,0,5000,1023,1
23,0,0,5000,1024,1
25,0,0,4000,1025,1
24,34,0,5000,1026,1
24,36,0,9999,1026,1
25,0,0,7000,1027,1
24,0,0,7000,1026,1
24,34,0,5000,1025,1
23,36,0,5000,1025,1
26,0,0,5000,1024,1
24,0,0,5000,1024,1
25,0,0,4000,1023,1
24,34,0,5000,1023,1
22,0,0,4500,1022,1
23,0,0,4500,1022,1
21,0,0,4500,1023,1
22,0,0,6000,1023,1
21,0,0,6000,1023,1
20,0,0,6000,1022,1
21,0,0,6000,1022,1
20,0,0,8000,1023,1
21,0,0,7000,1023,1
20,30,0,7000,1022,1
21,0,0,4000,1022,1
21,35,0,3500,1023,1
22,0,0,8000,1022,1
20,0,0,8000,1022,1
22,0,0,7000,1021,1
22,0,0,8000,1021,1
21,31,0,8000,1020,0
22,0,0,6000,1020,1
19,0,0,5000,1020,1
19,0,0,6000,1020,1
21,0,0,3500,1020,1
20,0,0,3500,1020,1
21,0,0,4000,1019,1
19,0,0,3500,1018,1
18,0,0,4000,1018,1
19,29,0,3500,1017,1
18,28,0,3500,1018,1
22,0,0,8000,1018,0
17,28,0,4000,1018,0
18,0,0,4000,1019,1
14,0,0,4000,1020,1
14,0,0,9999,1019,0
16,0,0,9999,1018,0
13,0,0,8000,1018,0
13,0,0,8000,1018,1
15,0,0,5000,1018,1
16,26,0,5000,1018,1
18,0,0,5000,1017,1
16,0,0,4000,1016,1
14,0,60,4000,1016,0
11,0,0,4000,1015,0
09,0,0,4000,1015,0
12,0,0,5000,1015,0
13,0,0,5000,1015,0
11,0,0,4000,1015,0
12,0,60,3000,1015,0
12,0,70,3000,1016,0
09,0,60,5000,1016,0
10,0,0,4000,1016,0
07,0,0,4000,1016,0
05,0,60,4000,1015,0
06,0,60,4000,1015,0
08,0,70,2500,1015,0
03,0,140,2200,1015,0
05,0,70,2500,1015,0
09,0,70,3000,1015,0
08,0,0,3500,1015,0
08,0,60,3500,1015,0
14,0,0,3500,1015,1
10,0,0,9999,1015,0
11,0,60,5000,1015,1
11,0,60,3000,1015,1
09,0,0,5000,1015,1
14,0,0,2800,1014,1
12,0,0,2800,1014,0
12,0,0,4500,1014,0
11,0,0,3500,1014,0
11,0,0,3500,1014,0
11,0,0,3500,1015,0
09,0,0,3000,1015,0
10,0,0,4500,1016,0
11,0,0,4500,1016,0
09,0,0,6000,1017,0
09,0,0,9999,1018,0
07,0,0,6000,1018,0
08,0,0,6000,1019,0
06,0,60,9999,1018,0
08,0,0,9999,1018,0
14,0,0,7000,1018,0
17,0,0,6000,1019,0
19,0,0,7000,1019,0
17,0,0,7000,1019,0
15,0,0,5000,1019,0
15,0,0,5000,1018,0
14,0,0,5000,1018,0
15,0,0,5000,1018,0
13,0,0,6000,1018,0
15,0,0,4000,1018,0
14,0,0,7000,1018,0
15,0,0,9999,1018,0
16,0,0,8000,1018,0
16,0,0,9999,1018,0
19,0,0,9999,1017,0
19,0,0,9999,1017,0
20,0,0,9999,1017,0
18,0,0,9999,1017,0
17,27,0,9999,1016,1
19,0,0,9999,1016,0
21,0,0,9999,1015,0
20,0,0,9999,1015,1
19,0,0,9999,1015,1
18,0,0,9999,1015,0
19,0,0,9999,1015,0
22,0,0,9999,1014,0
16,0,0,9999,1015,1
18,28,0,7000,1016,1
17,0,0,6000,1016,1
20,0,0,6000,1016,1
24,0,0,8000,1016,1
23,33,0,6000,1016,1
25,0,0,8000,1016,1
20,30,0,8000,1017,1
24,0,0,8000,1016,1
19,0,0,6000,1016,0
21,0,0,6000,1016,0
19,0,0,6000,1016,1
20,30,0,8000,1015,1
19,0,0,9999,1014,0
19,0,0,9999,1014,1
16,0,0,9999,1014,0
10,0,0,9999,1015,0
16,0,0,9999,1015,0
14,0,0,9999,1016,0
10,0,0,9999,1016,0
14,0,0,9999,1016,0
14,0,0,9999,1016,0
14,0,0,9999,1017,0
13,0,0,9999,1016,0
11,0,0,9999,1017,0
12,0,0,9999,1016,0
18,0,0,9999,1016,0
13,0,0,9999,1016,0
14,0,0,9999,1016,0
14,0,0,9999,1016,0
13,0,0,9999,1016,0
16,0,0,9999,1015,0
18,0,0,9999,1015,0
20,0,0,9999,1015,0
20,0,0,9999,1015,0
21,0,0,9999,1015,0
20,0,0,9999,1015,0
17,0,0,9999,1015,0
22,0,0,9999,1016,0
21,0,0,9999,1017,0
19,0,0,9999,1018,0
16,0,0,9999,1018,0
18,0,0,9999,1019,0
17,0,0,9999,1019,0
14,0,0,9999,1019,0
15,0,0,9999,1019,0
13,0,0,9999,1019,0
12,0,0,9999,1019,0
12,0,0,9999,1018,0
13,0,0,9000,1018,0
10,0,0,9000,1018,0
12,0,0,8000,1018,0
13,0,0,8000,1018,0
11,0,0,8000,1018,0
15,0,0,8000,1018,0
15,0,0,7000,1018,0
17,0,0,7000,1018,0
14,0,0,7000,1018,0
14,0,0,9999,1018,0
16,0,0,9999,1018,0
16,0,0,9999,1018,0
13,0,0,9999,1018,0
11,0,0,9999,1018,1
16,0,0,9999,1018,0
16,0,0,9999,1018,0
18,0,0,9999,1017,0
17,0,0,9999,1017,0
17,0,0,9999,1017,0
16,0,0,9999,1017,0
17,0,0,9999,1017,0
18,0,0,9999,1016,0
17,0,0,9999,1016,1
11,0,60,9999,1016,1
15,0,0,9999,1016,0
16,0,0,9999,1016,0
14,0,0,9999,1016,0
15,0,0,9999,1016,1
16,0,0,9999,1016,0
13,0,0,9999,1017,0
14,0,0,9999,1017,0
13,0,0,9999,1018,0
17,0,0,9999,1018,0
15,0,0,9999,1019,0
16,0,0,9999,1019,0
16,0,0,9999,1019,0
13,0,0,9999,1020,0
16,0,0,9999,1020,0
11,0,0,9999,1020,0
13,0,0,9999,1019,0
14,0,0,9999,1019,0
13,0,0,9999,1019,0
17,0,0,9999,1019,0
15,0,0,9999,1019,0
15,0,0,9999,1018,0
17,0,0,9999,1018,0
19,0,0,9999,1017,0
17,0,0,9999,1018,0
16,0,0,9999,1018,0
14,0,0,9999,1018,0
16,0,0,9999,1018,0
17,0,0,9999,1018,0
15,0,0,9999,1019,0
14,0,0,9999,1019,0
14,0,0,9999,1019,0
12,0,0,9999,1019,0
14,0,0,9999,1019,0
