windSpdKts,gustKts,windVrbDeg,intensity,rain,visibilityMtrs,qnh,ws
12,0,0,0,0,9999,1013,0
09,0,60,0,0,9999,1013,0
08,0,60,0,0,9999,1013,0
09,0,60,0,0,9999,1014,0
10,0,0,0,0,9999,1014,0
11,0,0,0,0,9999,1015,0
10,0,60,0,0,9999,1015,0
13,0,0,0,0,9999,1016,0
13,0,0,0,0,9000,1017,0
14,0,0,0,0,8000,1019,0
15,0,0,0,0,8000,1020,0
13,0,0,0,0,8000,1020,0
13,0,0,0,0,7000,1020,0
12,0,0,0,0,6000,1020,0
12,0,0,0,0,4500,1019,0
11,0,0,0,0,3500,1019,0
13,0,0,0,0,5000,1019,0
13,0,0,0,0,5000,1018,0
14,0,0,0,0,5000,1017,0
15,0,0,0,0,8000,1018,0
16,0,0,0,0,7000,1018,0
16,0,0,0,0,5000,1018,0
15,0,0,0,0,9000,1019,0
15,0,0,0,0,6000,1019,0
14,0,0,0,0,5000,1019,0
12,0,0,0,0,5000,1019,0
13,0,0,0,0,5000,1019,0
13,0,0,0,0,5000,1019,0
11,0,0,0,0,5000,1019,0
10,0,0,0,0,4800,1018,0
13,0,60,0,0,4500,1018,0
13,0,0,0,0,6000,1017,0
15,0,0,0,0,6000,1018,0
14,0,0,0,0,6000,1018,0
12,0,0,0,0,6000,1019,0
14,0,0,0,0,6000,1019,0
12,0,0,0,0,7000,1019,0
11,0,0,0,0,8000,1020,0
11,0,0,0,0,8000,1020,0
09,0,0,0,0,8000,1020,0
10,0,0,0,0,9000,1020,0
12,0,0,0,0,9000,1020,0
10,0,0,0,0,8000,1019,0
10,0,0,0,0,7000,1019,0
10,0,0,0,0,6000,1019,0
08,0,0,0,0,6000,1019,0
08,0,0,0,0,7000,1018,0
07,0,0,0,0,7000,1018,0
08,0,0,0,0,6000,1017,0
05,0,0,0,0,9999,1017,0
03,0,0,0,0,9999,1017,0
06,0,0,0,0,9999,1017,0
05,0,0,0,0,9999,1017,0
08,0,0,0,0,9999,1017,0
06,0,0,0,0,9999,1017,0
01,0,0,0,0,9999,1017,0
02,0,0,0,0,9999,1016,0
03,0,0,0,0,9999,1016,0
04,0,0,0,0,9999,1015,0
02,0,0,0,0,9999,1015,0
03,0,0,0,0,9999,1015,0
06,0,80,0,0,9999,1014,0
07,0,80,0,0,9999,1014,0
07,0,100,0,0,9999,1014,0
09,0,60,0,0,9999,1015,0
09,0,90,0,0,9999,1015,0
08,0,60,0,0,9999,1015,0
08,0,120,0,0,9999,1016,0
08,0,110,0,0,9999,1017,0
05,0,130,0,0,9999,1018,0
04,0,0,0,0,9999,1018,0
03,0,0,0,0,9999,1019,0
02,0,0,0,0,9999,1019,0
02,0,0,0,0,9999,1019,0
03,0,70,0,0,9999,1019,0
04,0,0,0,0,9999,1019,0
03,0,0,0,0,9999,1018,0
03,0,0,0,0,9999,1018,0
03,0,0,0,0,9999,1018,0
02,0,0,0,0,9999,1017,0
01,0,0,0,0,9999,1016,0
01,0,0,0,0,9999,1016,0
02,0,0,0,0,9999,1017,0
02,0,0,0,0,9999,1017,0
02,0,0,0,0,9999,1017,0
02,0,0,0,0,9999,1017,0
02,0,0,0,0,9999,1017,0
01,0,0,0,0,9999,1017,0
01,0,0,0,0,9999,1018,0
01,0,0,0,0,9999,1017,0
01,0,0,0,0,9999,1017,0
01,0,0,0,0,9999,1017,0
02,0,0,0,0,9999,1017,0
03,0,0,0,0,9999,1016,0
03,0,80,0,0,9999,1016,0
04,0,60,0,0,9999,1016,0
07,0,0,0,0,9999,1016,0
08,0,70,0,0,9999,1015,0
10,0,0,0,0,9999,1015,0
11,0,0,0,0,9999,1015,0
09,0,80,0,0,9999,1015,0
03,0,0,0,0,9999,1017,0
03,0,0,0,0,9999,1018,0
04,0,0,0,0,9999,1019,0
